,Date,HomeTeam,AwayTeam,FTR,HWDL,HGS,HGA,HRC,AWDL,AGS,AGA,ARC,H2hWDL,H2hGS,H2hGA,H2hRC
0,09/04/16,West Ham,Arsenal,,,,,,,,,,,,,
,09/04/16,Aston Villa,Bournemouth,,,,,,,,,,,,,
,09/04/16,Crystal Palace,Norwich,,,,,,,,,,,,,
,09/04/16,Southampton,Newcastle,,,,,,,,,,,,,
,09/04/16,Swansea,Chelsea,,,,,,,,,,,,,
,09/04/16,Watford,Everton,,,,,,,,,,,,,
,09/04/16,Man City,West Brom,,,,,,,,,,,,,
,10/04/16,Sunderland,Leicester,,,,,,,,,,,,,
,10/04/16,Liverpool,Stoke,,,,,,,,,,,,,
,10/04/16,Tottenham,Man United,,,,,,,,,,,,,
