,Date,HomeTeam,AwayTeam,FTR,HWDL,HGS,HGA,HRC,AWDL,AGS,AGA,ARC,H2hWDL,H2hGS,H2hGA,H2hRC
0,2016-04-09,West Ham,Arsenal,,2.0,9.0,7.0,0.0,1.0,11.0,8.0,1.0,-4.0,6.0,16.0,0.0
0,2016-04-09,Aston Villa,Bournemouth,,-6.0,2.0,18.0,0.0,1.0,9.0,9.0,0.0,1.0,1.0,0.0,0.0
0,2016-04-09,Crystal Palace,Norwich,,-4.0,7.0,11.0,0.0,-2.0,4.0,6.0,0.0,0.0,4.0,3.0,0.0
0,2016-04-09,Southampton,Newcastle,,1.0,8.0,8.0,2.0,-3.0,4.0,11.0,0.0,2.0,15.0,8.0,0.0
0,2016-04-09,Swansea,Chelsea,,0.0,7.0,7.0,0.0,3.0,13.0,7.0,1.0,-5.0,4.0,15.0,1.0
0,2016-04-09,Watford,Everton,,-3.0,3.0,6.0,0.0,0.0,11.0,7.0,1.0,-2.0,3.0,7.0,0.0
0,2016-04-09,Man City,West Brom,,-3.0,6.0,9.0,0.0,1.0,7.0,6.0,0.0,6.0,16.0,4.0,0.0
0,2016-04-10,Sunderland,Leicester,,0.0,8.0,8.0,0.0,3.0,7.0,4.0,1.0,-1.0,2.0,4.0,0.0
0,2016-04-10,Liverpool,Stoke,,1.0,15.0,8.0,1.0,3.0,10.0,6.0,0.0,2.0,10.0,12.0,0.0
0,2016-04-10,Tottenham,Man United,,3.0,11.0,5.0,0.0,1.0,7.0,6.0,1.0,-1.0,5.0,8.0,0.0
