,AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,GBA,GBD,GBH,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,PSA,PSD,PSH,Referee,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH
19,8,18,0,13,2,4,Bournemouth,8.0,4.75,1.45,,,,7.25,4.75,1.48,43,25.0,-1.0,2.05,1.75,7.71,2.17,1.72,4.46,1.44,2.2,1.83,8.6,2.26,1.76,5.0,1.5,42,17/08/15,E0,0,1,H,,,,6,11,0,18,2,0,1,H,1,Liverpool,7.3,4.4,1.4,7.5,4.5,1.45,8.6,4.74,1.44,C Pawson,,,,,,,8.5,4.75,1.45,6.5,4.2,1.5
33,7,11,1,12,5,1,West Ham,9.0,5.5,1.36,,,,7.25,5.0,1.36,40,26.0,-1.5,2.17,1.68,9.06,1.84,2.02,4.99,1.36,2.3,1.74,10.21,1.88,2.1,5.5,1.4,37,29/08/15,E0,3,0,A,,,,5,17,1,13,1,2,0,A,3,Liverpool,7.3,4.4,1.4,9.0,5.0,1.4,10.21,5.28,1.36,K Friend,,,,,,,9.5,5.4,1.36,9.5,4.5,1.36
57,2,13,0,7,2,2,Norwich,5.75,4.0,1.67,,,,5.5,3.8,1.67,40,25.0,-1.0,1.93,1.86,5.54,1.73,2.16,3.86,1.64,2.03,1.92,6.0,1.77,2.26,4.1,1.68,36,20/09/15,E0,1,1,D,,,,6,4,0,23,7,0,0,D,1,Liverpool,5.6,3.9,1.55,5.5,3.8,1.67,5.81,3.94,1.68,A Taylor,,,,,,,5.75,4.0,1.67,5.5,3.6,1.67
61,1,13,0,10,4,0,Aston Villa,7.0,4.33,1.53,,,,6.5,4.2,1.53,41,25.0,-1.0,1.84,1.95,6.81,1.98,1.89,4.13,1.52,1.95,2.05,7.5,2.02,1.93,4.4,1.56,37,26/09/15,E0,2,3,H,,,,11,8,0,21,12,0,1,H,0,Liverpool,6.1,4.0,1.5,7.0,4.0,1.53,7.48,4.28,1.53,J Moss,,,,,,,7.5,4.1,1.55,7.0,3.8,1.53
97,7,11,1,8,3,0,Southampton,3.8,3.6,2.05,,,,3.6,3.5,2.05,43,24.0,-0.5,1.84,1.95,3.74,1.83,2.04,3.43,2.05,1.91,2.06,4.0,1.86,2.08,3.62,2.1,39,25/10/15,E0,1,1,D,,,,10,8,0,15,2,0,0,D,1,Liverpool,4.0,3.45,1.85,3.75,3.4,2.1,3.87,3.56,2.08,A Marriner,,,,,,,3.8,3.5,2.1,3.9,3.3,2.1
119,6,6,0,9,4,2,Crystal Palace,6.0,3.8,1.67,,,,5.0,3.7,1.67,43,22.0,-0.75,1.87,1.92,5.39,2.0,1.86,3.8,1.66,1.94,2.0,6.0,2.06,1.91,4.0,1.7,37,08/11/15,E0,2,1,A,,,,14,7,0,22,4,1,1,D,1,Liverpool,5.4,3.7,1.6,5.5,3.75,1.7,5.73,3.99,1.68,N Swarbrick,,,,,,,5.75,4.0,1.67,6.0,3.2,1.7
136,7,6,0,8,0,1,Swansea,8.0,4.75,1.44,,,,7.5,4.4,1.45,48,29.0,-1.0,2.01,1.79,7.36,2.14,1.75,4.37,1.46,2.08,1.87,8.0,2.23,1.81,4.75,1.5,42,29/11/15,E0,0,1,H,,,,8,12,0,10,2,0,0,D,3,Liverpool,6.1,4.0,1.5,7.0,4.33,1.5,7.95,4.55,1.48,A Taylor,,,,,,,8.0,4.75,1.45,7.0,4.0,1.5
157,4,10,0,4,2,0,West Brom,10.0,4.75,1.4,,,,8.5,4.5,1.4,50,28.0,-1.5,1.78,2.02,8.84,1.67,2.27,4.42,1.41,1.87,2.1,10.0,1.7,2.38,4.8,1.45,45,13/12/15,E0,2,2,D,,,,4,7,0,28,8,1,1,D,0,Liverpool,7.3,4.4,1.4,9.0,4.33,1.4,9.0,4.59,1.45,C Pawson,,,,,,,9.5,4.6,1.44,9.0,4.33,1.4
173,6,8,0,7,3,1,Leicester,3.8,3.8,1.91,,,,3.75,3.7,1.95,49,29.0,-0.5,2.21,1.65,3.81,1.94,1.92,3.72,1.93,2.3,1.7,4.0,1.98,1.96,3.91,2.0,40,26/12/15,E0,0,1,H,,,,7,11,0,25,4,0,0,D,2,Liverpool,3.8,3.45,1.9,3.75,3.75,1.91,4.0,3.87,1.95,M Atkinson,,,,,,,4.0,3.8,1.95,3.8,3.5,1.95
204,3,7,0,14,5,0,Arsenal,2.6,3.4,2.88,,,,2.6,3.25,2.9,48,28.0,-0.25,1.93,1.87,2.51,1.6,2.41,3.37,2.83,2.05,1.96,2.6,1.64,2.5,3.58,2.95,43,13/01/16,E0,3,3,D,,,,9,9,0,22,6,2,2,D,2,Liverpool,2.4,3.3,2.75,2.5,3.3,2.75,2.57,3.58,2.84,M Jones,,,,,,,2.55,3.5,2.88,2.5,3.2,2.9
