,Date,HomeTeam,AwayTeam,FTR,HWDL,HGS,HGA,HRC,AWDL,AGS,AGA,ARC,H2hWDL,H2hGS,H2hGA,H2hRC
0,02/04/16,Aston Villa,Chelsea,,,,,,,,,,,,,
,02/04/16,Arsenal,Watford,,,,,,,,,,,,,
,02/04/16,Bournemouth,Man City,,,,,,,,,,,,,
,02/04/16,Norwich,Newcastle,,,,,,,,,,,,,
,02/04/16,Stoke,Swansea,,,,,,,,,,,,,
,02/04/16,Sunderland,West Brom,,,,,,,,,,,,,
,02/04/16,West Ham,Crystal Palace,,,,,,,,,,,,,
,02/04/16,Liverpool,Tottenham,,,,,,,,,,,,,
,03/04/16,Leicester,Southampton,,,,,,,,,,,,,
,03/04/16,Man United,Everton,,,,,,,,,,,,,
